No,Size,Type,IsDegradeRead,replicas,nativeec,hydra,microec,NativeecTimes,HydraTimes,MicroecTimes,,,
7128,1156,GET,FALSE,4.557,18.474,18.758,10.244,4.05,4.12,2.25,,,
7359,1156,GET,TRUE,4.064,12.225,15.754,9.346,3.01,3.88,2.3,,,
5619,1156,GET,FALSE,4.412,11.027,12.79,8.677,2.5,2.9,1.97,,,
7193,1156,GET,FALSE,4.179,23.622,12.879,8.238,5.65,3.08,1.97,,,
3931,1156,GET,FALSE,3.778,13.796,15.246,8.958,3.65,4.04,2.37,,,
7287,1156,GET,FALSE,3.642,17.295,11.705,9.429,4.75,3.21,2.59,,,
8302,1156,GET,FALSE,4.235,21.754,13.855,10.701,5.14,3.27,2.53,,,
6735,1156,GET,FALSE,4.924,21.583,14.142,10.671,4.38,2.87,2.17,,,
5890,1156,GET,FALSE,5.354,9.757,12.789,8.697,1.82,2.39,1.62,,,
1928,1156,GET,FALSE,4.873,17.943,13.14,12.933,3.68,2.7,2.65,,,
5008,1156,GET,FALSE,4.572,13.77,10.705,7.383,3.01,2.34,1.61,,,
3002,1156,GET,FALSE,4.401,16.314,16.654,9.151,3.71,3.78,2.08,,,
